"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"31","1"
"32","1"
"33","1"
"34","1"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","1"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"49","2"
"50","1"
"51","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62","1"
"63","1"
"64","1"
"65","1"
"66","1"
"67","1"
"68","1"
"69","1"
"70","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81","1"
"82","1"
"83","1"
"84","1"
"85","1"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","1"
"92","1"
"93","1"
"94","1"
"95","1"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","1"
"102","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"110","1"
"111","1"
"112","1"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","1"
"120","2"
"120","3"
"121","2"
"121","3"
"122","2"
"122","3"
"123","2"
"123","3"
"124","2"
"124","3"
"125","2"
"125","3"
"126","2"
"126","3"
"127","2"
"127","3"
"128","2"
"128","3"
"129","2"
"129","3"
"130","2"
"130","3"
"131","2"
"131","3"
"132","2"
"132","3"
"133","2"
"133","3"
"134","2"
"134","3"
"135","2"
"135","3"
"136","2"
"136","3"
"137","2"
"137","3"
"138","2"
"139","3"
"140","2"
"140","3"
"141","2"
"141","3"
"142","2"
"142","3"
"143","2"
"143","3"
"144","2"
"144","3"
"145","2"
"145","3"
"146","2"
"146","3"
"147","2"
"147","3"
"148","2"
"148","3"
"149","2"
"149","3"
"150","2"
"150","3"
"151","2"
"151","3"
"152","2"
"152","3"
"153","2"
"153","3"
"154","2"
"154","3"
"155","2"
"155","3"
